Hotel_ID,City,Country,Max Temp,Lat,Lng,Weather Description,Hotel Name
371,Buchanan,LR,78.8,5.8808,-10.0467,broken clouds,Kamaneahn Hotel Inc
375,Ailigandi,PA,78.82,9.2333,-78.0167,scattered clouds,Akwa Reef Lodge
376,San Juan,AR,81.27,-31.5375,-68.5364,scattered clouds,Hotel Provincial
381,Marshall,US,77.0,34.3834,-86.3333,scattered clouds,Riverview Campground
386,Sinnamary,GF,76.86,5.3833,-52.95,overcast clouds,ALETHEIA Appartement Sinnamary
390,Souillac,MU,77.0,-20.5167,57.5167,broken clouds,Shanti Maurice Resort & Spa
393,Puerto Escondido,MX,84.2,15.85,-97.0667,scattered clouds,Aldea del Bazar Hotel and Spa
395,Douentza,ML,75.4,14.9951,-2.9517,clear sky,Ogomono Doumbo
399,Oistins,BB,78.8,13.0667,-59.5333,scattered clouds,Butterfly Beach Hotel
402,Union De San Antonio,MX,87.8,21.1,-101.9667,scattered clouds,Hotel Adobes
408,Mogadishu,SO,79.72,2.0371,45.3438,overcast clouds,Olympic Hotel
409,Guasdualito,VE,87.8,7.2424,-70.7324,scattered clouds,Hotel Cuibas
412,Luquillo,PR,78.8,18.3725,-65.7166,few clouds,Yunque Mar Beach Hotel
413,Valle De Allende,MX,76.42,26.9333,-105.4,few clouds,Hotel Meson de San Bartolome
418,Quatre Cocos,MU,77.0,-20.2078,57.7625,light rain,Emeraude Beach Attitude Hotel
420,La Romana,DO,80.6,18.4273,-68.9728,few clouds,Casa de Campo Resort and Villas
422,Bacolod,PH,79.23,10.6667,122.95,broken clouds,Planta Hotel & Residences
425,Sao Joao Da Barra,BR,76.71,-21.6403,-41.0511,scattered clouds,Pousada Porto De Canoas
426,Neuquen,AR,82.4,-38.9516,-68.0591,clear sky,Hotel del Comahue
427,Coolum Beach,AU,79.0,-26.5333,153.1,light rain,Palmer Coolum Resort
432,Natal,BR,82.4,-5.795,-35.2094,clear sky,Villa Park Hotel | Natal
437,Road Town,VG,78.8,18.4167,-64.6167,scattered clouds,"ZINGARA 76ft Catamaran, full crew-all included"
446,Morant Bay,JM,82.4,17.8815,-76.4093,scattered clouds,Whispering Bamboo Cove Resort
447,Mareeba,AU,82.0,-17.0,145.4333,overcast clouds,Trinity Plains Tourist Park
448,Teshie,GH,80.6,5.5836,-0.1072,clear sky,Adinkra Lodge
454,Macultepec,MX,91.4,18.1667,-92.8333,clear sky,La guadalupana
456,Obidos,BR,76.95,-1.9175,-55.5181,broken clouds,Hotel Amazônia Center
464,Nabire,ID,79.63,-3.3667,135.4833,scattered clouds,Hotel Nusantara Nabire
470,Bakel,SN,82.74,14.905,-12.4568,scattered clouds,Ablaye Diallo Bakel
473,Tanout,NE,81.3,14.9709,8.8879,clear sky,
476,Trincomalee,LK,80.82,8.5711,81.2335,clear sky,Welcombe Hotel
484,Thinadhoo,MV,83.48,0.5333,72.9333,overcast clouds,
486,Chihuahua,MX,78.01,28.5,-106.0,clear sky,
487,Mecca,SA,76.86,21.4267,39.8261,clear sky,"Makkah Clock Royal Tower, A Fairmont Hotel"
489,Port Hedland,AU,78.8,-20.3167,118.5667,overcast clouds,The Esplanade Hotel
490,Panguna,PG,79.84,-6.3164,155.4848,overcast clouds,
497,Saint-Pierre,RE,78.8,-21.3393,55.4781,clear sky,Lindsey Hôtel
504,Champerico,GT,86.0,14.3,-91.9167,broken clouds,"Hotel y restaurante ""El Diamante"""
505,Bouca,CF,80.65,6.5105,18.2733,overcast clouds,
511,Omboue,GA,77.72,-1.5746,9.2618,heavy intensity rain,Hotel Olako
514,Atambua,ID,75.65,-9.1061,124.8925,overcast clouds,Pastori 1 Jemaat Polycarpus
518,Concepcion Del Oro,MX,78.49,24.6333,-101.4167,clear sky,HOTEL HACIENDA SAN JAVIER
519,Bonthe,SL,78.64,7.5264,-12.505,overcast clouds,Bonthe Holiday Village
520,Ribas Do Rio Pardo,BR,78.98,-20.4431,-53.7592,broken clouds,Pousada Avenida
526,Kununurra,AU,75.2,-15.7667,128.7333,moderate rain,Hotel Kununurra
529,Makakilo City,US,77.0,21.3469,-158.0858,light rain,Marriott's Ko Olina Beach Club
530,Sambava,MG,76.33,-14.2667,50.1667,overcast clouds,Melrose
532,Denpasar,ID,75.2,-8.65,115.2167,few clouds,ASTON Denpasar Hotel & Convention Center
534,Dingle,PH,77.32,10.9995,122.6711,broken clouds,SEGAYA PROPERTY
541,Amahai,ID,84.99,-3.3333,128.9167,broken clouds,HOTEL ISABELA
547,Manati,PR,77.0,18.4275,-66.4921,overcast clouds,Manati World Point Inn
549,Tucuma,BR,77.27,-0.1833,-50.05,broken clouds,
551,Beira,MZ,76.42,-19.8436,34.8389,clear sky,Beira Terrace Hotel
552,Russell,US,84.2,32.3502,-85.1999,clear sky,Macs
563,Puerto Colombia,CO,78.28,10.9878,-74.9547,broken clouds,Hotel El Emigrante
565,Balikpapan,ID,75.2,-1.2675,116.8289,few clouds,ibis Balikpapan
568,Conceicao Do Araguaia,BR,76.06,-8.2578,-49.2647,light rain,Tarumã Tropical Hotel
571,Cozumel,MX,82.4,20.5083,-86.9458,scattered clouds,Cozumel Palace® All Inclusive Resort
573,Bilma,NE,79.65,18.6853,12.9164,clear sky,Expeditions Ténére voyages
574,Bilma,NE,79.65,18.6853,12.9164,clear sky,Expeditions Ténére voyages
