City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Georgetown,MY,2021-03-14 21:40:12,5.4112,100.3354,80.6,78,20,2.3
68,Port Elizabeth,ZA,2021-03-14 21:41:14,-33.918,25.5701,69.8,94,90,8.05
69,Nagyrabe,HU,2021-03-14 21:41:14,47.2,21.3333,44.6,87,90,3.44
70,Aklavik,CA,2021-03-14 21:41:15,68.2191,-135.0107,-5.8,59,36,6.91
71,Norman Wells,CA,2021-03-14 21:39:30,65.282,-126.8329,-4.0,77,90,12.66
72,Cape Town,ZA,2021-03-14 21:36:19,-33.9258,18.4232,70.0,73,20,16.11
73,Ayan,RU,2021-03-14 21:41:15,56.45,138.1667,19.94,94,100,9.71
74,Kindu,CD,2021-03-14 21:36:47,-2.95,25.95,71.19,92,100,0.22
75,Mahebourg,MU,2021-03-14 21:41:16,-20.4081,57.7,77.0,94,75,3.44
76,Salalah,OM,2021-03-14 21:41:16,17.0151,54.0924,68.38,64,0,3.2
77,Saint Helens,GB,2021-03-14 21:41:17,53.45,-2.7333,50.0,87,40,21.85
78,Pombas,CV,2021-03-14 21:41:17,17.1503,-25.0201,71.6,56,0,18.41
79,Saint-Augustin,CA,2021-03-14 21:41:18,51.226,-58.6502,15.73,84,100,11.83
80,Bluff,NZ,2021-03-14 21:41:18,-46.6,168.3333,64.99,74,100,5.99
81,Norwich,GB,2021-03-14 21:41:12,52.6278,1.2983,45.0,93,75,16.11
82,San Cristobal,VE,2021-03-14 21:41:19,7.7669,-72.225,82.4,61,75,5.75
83,Cayenne,GF,2021-03-14 21:39:47,4.9333,-52.3333,75.2,94,75,2.3
84,Santa Cruz,BO,2021-03-14 21:40:09,-17.8,-63.1667,80.6,69,75,3.44
85,Barrow,US,2021-03-14 21:37:05,71.2906,-156.7887,-5.8,77,1,18.41
86,Sivas,TR,2021-03-14 21:41:20,39.7916,37.0019,37.4,93,75,6.91
87,Mount Isa,AU,2021-03-14 21:41:20,-20.7333,139.5,71.6,73,75,12.66
88,Nicolas Bravo,MX,2021-03-14 21:41:20,18.45,-88.9167,86.0,58,40,11.5
89,Agua Dulce,MX,2021-03-14 21:41:21,18.1333,-94.1333,93.2,49,1,12.66
90,Xai-Xai,MZ,2021-03-14 21:41:21,-25.0519,33.6442,72.79,88,0,6.02
91,Jiuquan,CN,2021-03-14 21:39:54,39.7432,98.5174,38.61,42,0,10.07
92,Avarua,CK,2021-03-14 21:41:22,-21.2078,-159.775,84.2,79,20,10.36
93,Almonte,ES,2021-03-14 21:41:22,37.2647,-6.5167,61.0,67,0,5.75
94,Port Hardy,CA,2021-03-14 21:41:23,50.6996,-127.4199,41.0,65,40,16.11
95,Lompoc,US,2021-03-14 21:41:23,34.6391,-120.4579,57.2,54,1,11.5
96,Poum,NC,2021-03-14 21:41:24,-20.2333,164.0167,78.93,74,100,5.7
97,Thompson,CA,2021-03-14 21:41:24,55.7435,-97.8558,23.0,36,75,11.5
98,Klaksvik,FO,2021-03-14 21:41:24,62.2266,-6.589,39.2,87,75,3.44
99,Dormidontovka,RU,2021-03-14 21:41:25,47.7702,134.9076,24.55,82,0,5.44
100,Vao,NC,2021-03-14 21:41:25,-22.6667,167.4833,76.77,77,8,16.75
101,Coihaique,CL,2021-03-14 21:41:25,-45.5752,-72.0662,77.0,36,0,4.36
102,Castro,BR,2021-03-14 21:37:58,-24.7911,-50.0119,67.01,82,1,1.7
103,Kanniyakumari,IN,2021-03-14 21:41:26,8.0833,77.5667,80.58,73,21,15.61
104,Palmerston,AU,2021-03-14 21:41:27,-12.486,130.9833,77.0,100,20,1.14
105,Tura,IN,2021-03-14 21:41:27,25.5198,90.2201,68.09,45,0,3.09
106,Clyde River,CA,2021-03-14 21:41:27,70.4692,-68.5914,-9.4,84,1,20.71
107,Pitimbu,BR,2021-03-14 21:37:38,-7.4706,-34.8086,80.6,69,20,12.66
108,Victor Harbor,AU,2021-03-14 21:41:28,-35.5667,138.6167,59.0,74,75,6.71
109,Maraba,BR,2021-03-14 21:41:28,-5.3686,-49.1178,84.2,79,20,1.5
110,Mayo,US,2021-03-14 21:41:29,38.8876,-76.5119,59.0,25,1,21.85
111,Rancho Palos Verdes,US,2021-03-14 21:41:29,33.7445,-118.387,61.0,63,75,9.22
112,Bengkulu,ID,2021-03-14 21:41:30,-3.8004,102.2655,77.11,85,100,4.56
113,Selikhino,RU,2021-03-14 21:41:30,50.3672,137.4996,24.87,85,10,6.53
114,Beloha,MG,2021-03-14 21:41:32,-25.1667,45.05,72.93,80,2,14.32
115,Port Blair,IN,2021-03-14 21:41:32,11.6667,92.75,79.32,74,57,4.92
116,Paka,MY,2021-03-14 21:41:33,4.6374,103.4368,77.0,94,34,5.97
117,Sukumo,JP,2021-03-14 21:41:33,32.9333,132.7333,47.53,85,17,5.55
118,Skowhegan,US,2021-03-14 21:41:33,44.7651,-69.7192,26.01,53,100,3.0
119,Saint George,US,2021-03-14 21:37:42,37.1041,-113.5841,63.0,38,1,14.97
120,Mount Gambier,AU,2021-03-14 21:40:44,-37.8333,140.7667,55.4,94,75,8.05
121,Yellowknife,CA,2021-03-14 21:41:34,62.456,-114.3525,14.0,79,90,9.22
122,Casper,US,2021-03-14 21:39:24,42.8666,-106.3131,34.0,93,90,27.63
123,Mayumba,GA,2021-03-14 21:41:35,-3.432,10.6554,79.63,86,100,8.77
124,Bambanglipuro,ID,2021-03-14 21:41:35,-7.95,110.2833,76.3,86,91,1.68
125,Blama,SL,2021-03-14 21:41:36,7.8736,-11.3433,77.13,83,100,3.83
126,Neryungri,RU,2021-03-14 21:41:36,56.6709,124.6491,10.17,92,100,20.49
127,Bereda,ES,2021-03-14 21:41:37,43.2686,-7.5406,45.0,96,13,4.0
128,Riyadh,SA,2021-03-14 21:40:06,24.6877,46.7219,69.8,21,49,6.91
129,Adwa,ET,2021-03-14 21:41:37,14.1646,38.8955,63.59,42,0,6.53
130,Sorong,ID,2021-03-14 21:41:38,-0.8833,131.25,78.84,83,100,5.55
131,Sitangkai,PH,2021-03-14 21:41:38,4.6628,119.3928,83.03,74,30,7.74
132,Slave Lake,CA,2021-03-14 21:41:38,55.2834,-114.769,39.2,70,90,11.5
133,Nuuk,GL,2021-03-14 21:39:46,64.1835,-51.7216,21.2,73,75,14.97
134,Kahului,US,2021-03-14 21:41:39,20.8947,-156.47,75.0,78,40,9.22
135,Rosetta,EG,2021-03-14 21:41:40,31.4044,30.4164,59.0,82,40,5.75
136,Ponta Do Sol,PT,2021-03-14 21:41:40,32.6667,-17.1,57.0,67,100,5.01
137,Muzaffarpur,IN,2021-03-14 21:41:40,26.1167,85.4,64.4,68,0,4.61
138,Saint-Joseph,RE,2021-03-14 21:41:41,-21.3667,55.6167,78.8,83,75,12.66
139,Tateyama,JP,2021-03-14 21:41:41,34.9833,139.8667,48.0,35,15,4.0
140,Saint-Philippe,RE,2021-03-14 21:41:42,-21.3585,55.7679,78.8,83,75,12.66
141,Cabadiangan,PH,2021-03-14 21:41:42,9.7531,122.4739,77.32,91,7,6.15
142,Dubbo,AU,2021-03-14 21:41:42,-32.25,148.6167,55.4,88,3,11.5
143,Oranjemund,NA,2021-03-14 21:41:43,-28.55,16.4333,64.38,86,40,8.55
144,Hasaki,JP,2021-03-14 21:41:43,35.7333,140.8333,37.4,75,20,2.3
145,Shepsi,RU,2021-03-14 21:41:44,44.0361,39.1489,46.94,62,0,6.17
146,Yarmouth,US,2021-03-14 21:41:44,41.7057,-70.2286,35.6,69,90,16.11
147,Linxia,CN,2021-03-14 21:41:44,35.6003,103.2064,44.71,20,0,3.65
148,Cherskiy,RU,2021-03-14 21:41:45,68.75,161.3,-12.95,94,100,8.21
149,Halden,NO,2021-03-14 21:41:45,59.1226,11.3871,37.0,95,100,2.08
150,San Patricio,US,2021-03-14 21:41:45,28.017,-97.5169,68.0,60,90,12.66
151,Prainha,BR,2021-03-14 21:41:46,-1.8,-53.48,77.99,85,14,4.14
152,Namibe,AO,2021-03-14 21:41:46,-15.1961,12.1522,75.97,80,75,3.78
153,Dongsheng,CN,2021-03-14 21:41:47,39.8161,109.9776,25.18,24,25,25.99
154,Provideniya,RU,2021-03-14 21:41:47,64.3833,-173.3,23.41,94,100,9.04
155,Ostrow Wielkopolski,PL,2021-03-14 21:41:47,51.655,17.8069,39.0,93,45,7.23
156,Christchurch,NZ,2021-03-14 21:39:42,-43.5333,172.6333,69.01,48,74,6.91
157,Dzaoudzi,YT,2021-03-14 21:41:48,-12.7887,45.2699,80.6,83,90,4.61
158,Pevek,RU,2021-03-14 21:41:48,69.7008,170.3133,-5.71,96,100,14.9
159,Sola,VU,2021-03-14 21:41:49,-13.8833,167.55,80.6,89,75,5.66
160,Dabra,IN,2021-03-14 21:41:49,25.9,78.3333,73.72,33,2,2.35
161,Lebu,CL,2021-03-14 21:41:49,-37.6167,-73.65,61.5,75,0,5.57
162,Ahipara,NZ,2021-03-14 21:41:50,-35.1667,173.1667,71.26,64,1,3.49
163,Yazykovo,RU,2021-03-14 21:41:50,55.2199,56.1353,10.74,81,99,12.64
164,Olinda,BR,2021-03-14 21:41:51,-8.0089,-34.8553,80.6,61,40,11.5
165,Lerwick,GB,2021-03-14 21:41:51,60.1545,-1.1494,42.8,75,90,20.71
166,Salinopolis,BR,2021-03-14 21:41:52,-0.6136,-47.3561,79.48,83,74,7.36
167,Wewak,PG,2021-03-14 21:41:52,-3.5534,143.6268,78.53,86,87,6.13
168,Dikson,RU,2021-03-14 21:41:53,73.5069,80.5464,-25.19,100,100,11.56
169,Storm Lake,US,2021-03-14 21:41:53,42.6411,-95.2097,37.99,100,1,28.77
170,Sabha,LY,2021-03-14 21:41:53,27.0377,14.4283,64.36,36,0,15.82
171,Cabo San Lucas,MX,2021-03-14 21:40:02,22.8909,-109.9124,80.6,43,20,9.22
172,Ilulissat,GL,2021-03-14 21:37:42,69.2167,-51.1,10.4,67,90,4.61
173,Swellendam,ZA,2021-03-14 21:41:54,-34.0226,20.4417,64.4,100,100,4.61
174,Lazaro Cardenas,MX,2021-03-14 21:41:55,17.9583,-102.2,81.39,64,0,8.95
175,Tuburan,PH,2021-03-14 21:41:55,6.6439,122.2736,73.4,94,75,3.44
176,Belyy Yar,RU,2021-03-14 21:38:55,53.6039,91.3903,1.4,78,0,2.24
177,Gladstone,AU,2021-03-14 21:41:55,-23.85,151.25,75.2,83,93,4.65
178,Mawlaik,MM,2021-03-14 21:41:56,23.6333,94.4167,63.19,56,0,1.77
179,Saskylakh,RU,2021-03-14 21:41:56,71.9167,114.0833,-31.43,91,0,4.32
180,Novopokrovka,UA,2021-03-14 21:41:57,49.8425,36.5477,37.0,75,0,6.71
181,Japura,ID,2021-03-14 21:41:57,-0.3167,102.35,73.08,95,48,1.57
182,Ibra,OM,2021-03-14 21:41:58,22.6906,58.5334,63.75,44,1,1.19
183,Kayseri,TR,2021-03-14 21:41:58,38.737,35.4968,44.6,87,75,4.61
184,Okhotsk,RU,2021-03-14 21:39:14,59.3833,143.3,5.14,74,100,2.57
185,Darhan,MN,2021-03-14 21:41:58,49.4867,105.9228,6.84,68,0,4.7
186,Shemysheyka,RU,2021-03-14 21:41:59,52.892,45.3928,30.99,60,99,14.27
187,Lalibela,ET,2021-03-14 21:41:59,12.0333,39.0333,63.91,48,0,6.44
188,Lagoa,PT,2021-03-14 21:38:06,39.05,-27.9833,59.97,91,10,14.79
189,Sinjar,IQ,2021-03-14 21:42:00,36.3209,41.8754,54.27,56,100,3.96
190,Qasigiannguit,GL,2021-03-14 21:39:49,68.8193,-51.1922,10.4,67,90,4.61
191,Siljan,NO,2021-03-14 21:42:00,59.2884,9.71,39.0,1,94,4.94
192,Chokurdakh,RU,2021-03-14 21:42:01,70.6333,147.9167,-20.47,92,0,4.76
193,Nome,US,2021-03-14 21:42:01,64.5011,-165.4064,21.2,93,90,13.8
194,Tyumentsevo,RU,2021-03-14 21:42:02,53.3224,81.498,-1.66,97,100,5.79
195,Sembabule,UG,2021-03-14 21:42:02,-0.0772,31.4567,69.26,46,22,5.46
196,Key West,US,2021-03-14 21:42:02,24.5557,-81.7826,78.8,65,1,13.8
197,Aguada De Pasajeros,CU,2021-03-14 21:42:03,22.385,-80.8508,84.2,58,4,12.66
198,Hanna,CA,2021-03-14 21:37:59,51.6334,-111.9018,59.0,35,0,17.27
199,Wattegama,LK,2021-03-14 21:42:03,6.7989,81.4808,72.05,89,100,3.62
200,Labuhan,ID,2021-03-14 21:42:04,-6.8844,112.2051,77.81,84,100,7.07
201,Itarema,BR,2021-03-14 21:42:04,-2.9248,-39.9167,78.62,81,22,9.75
202,Hearst,CA,2021-03-14 21:42:05,49.6835,-83.6665,15.8,35,95,10.36
203,Teguise,ES,2021-03-14 21:38:06,29.0605,-13.564,66.2,72,20,11.5
204,Xiuyan,CN,2021-03-14 21:42:05,40.2928,123.2744,37.63,95,100,4.83
205,Mangrol,IN,2021-03-14 21:42:05,21.1167,70.1167,75.02,54,55,14.94
206,Camana,PE,2021-03-14 21:42:06,-16.6228,-72.7111,75.02,73,51,5.97
207,Srednekolymsk,RU,2021-03-14 21:42:06,67.45,153.6833,-16.17,81,0,3.96
208,Chuy,UY,2021-03-14 21:42:07,-33.6971,-53.4616,65.91,75,0,7.02
209,Portland,US,2021-03-14 21:37:39,45.5234,-122.6762,50.0,71,90,6.91
210,Bethel,US,2021-03-14 21:38:35,41.3712,-73.414,39.2,33,90,25.32
211,Alta Floresta,BR,2021-03-14 21:42:07,-9.8756,-56.0861,74.37,93,100,1.3
212,Yulara,AU,2021-03-14 21:42:08,-25.2406,130.9889,60.8,41,2,10.36
213,Tranas,SE,2021-03-14 21:42:08,58.0372,14.9782,35.6,80,90,5.75
214,Alofi,NU,2021-03-14 21:42:08,-19.0595,-169.9187,84.2,74,75,5.75
215,Havre-Saint-Pierre,CA,2021-03-14 21:42:09,50.2334,-63.5986,14.0,34,20,12.66
216,Jagtial,IN,2021-03-14 21:42:09,18.8,78.9333,72.19,29,0,5.95
217,Cabinda,AO,2021-03-14 21:42:10,-5.55,12.2,80.6,81,100,6.51
218,Ipixuna,BR,2021-03-14 21:42:10,-1.7625,-48.8043,75.2,83,40,4.61
219,Natal,BR,2021-03-14 21:42:10,-5.795,-35.2094,82.4,69,0,13.8
220,Ludza,LV,2021-03-14 21:42:11,56.55,27.7167,34.95,97,100,9.82
221,Benguela,AO,2021-03-14 21:42:11,-12.5763,13.4055,80.53,80,100,5.03
222,Torbay,CA,2021-03-14 21:42:12,47.6666,-52.7314,30.99,69,90,6.91
223,Lasa,IT,2021-03-14 21:42:12,46.6166,10.7002,44.6,93,90,4.61
224,Taoru,IN,2021-03-14 21:42:12,28.2167,76.95,66.2,77,0,2.95
225,Santa Rosa,PH,2021-03-14 21:41:35,14.3122,121.1114,78.8,83,75,2.3
226,New Norfolk,AU,2021-03-14 21:42:13,-42.7826,147.0587,64.0,58,93,4.0
227,Turukhansk,RU,2021-03-14 21:42:13,65.8167,87.9833,7.54,96,100,7.56
228,Lake Charles,US,2021-03-14 21:42:14,30.2131,-93.2044,78.8,61,75,20.71
229,Tiksi,RU,2021-03-14 21:42:14,71.6872,128.8694,3.76,87,100,4.54
230,Formosa,AR,2021-03-14 21:42:14,-26.1775,-58.1781,93.2,36,0,12.66
231,Esperance,AU,2021-03-14 21:38:37,-33.8667,121.9,51.8,82,28,4.61
232,Samarai,PG,2021-03-14 21:42:15,-10.6167,150.6667,82.83,72,90,5.37
233,Segezha,RU,2021-03-14 21:42:15,63.7415,34.3222,24.35,98,96,6.58
234,Ixtapa,MX,2021-03-14 21:42:16,20.7,-105.2,75.2,64,40,13.8
235,Qaqortoq,GL,2021-03-14 21:42:16,60.7167,-46.0333,37.4,41,75,28.77
236,Kutum,SD,2021-03-14 21:38:07,14.2,24.6667,69.24,9,0,5.68
237,Meulaboh,ID,2021-03-14 21:42:17,4.1363,96.1285,75.99,87,94,5.39
238,Mecca,SA,2021-03-14 21:42:17,21.4267,39.8261,77.72,53,0,1.03
239,Beringovskiy,RU,2021-03-14 21:42:17,63.05,179.3167,11.19,88,97,9.33
240,Victoria,HK,2021-03-14 21:42:18,22.2855,114.1577,69.01,85,92,1.01
241,Idaho Falls,US,2021-03-14 21:40:30,43.4666,-112.0341,50.0,43,1,6.91
242,Ust-Nera,RU,2021-03-14 21:42:18,64.5667,143.2,-12.77,98,92,3.56
243,Upernavik,GL,2021-03-14 21:38:47,72.7868,-56.1549,-3.06,99,100,5.08
244,Kannangad,IN,2021-03-14 21:42:19,12.3081,75.1063,77.67,85,4,6.4
245,Balkanabat,TM,2021-03-14 21:42:20,39.5108,54.3671,32.97,65,13,2.48
246,Bulgan,MN,2021-03-14 21:42:20,48.8125,103.5347,11.64,38,0,2.44
247,Hithadhoo,MV,2021-03-14 21:42:21,-0.6,73.0833,84.13,64,100,6.51
248,Hambantota,LK,2021-03-14 21:42:21,6.1241,81.1185,77.02,85,98,11.97
249,Bela,IN,2021-03-14 21:42:22,25.9333,81.9833,68.11,31,0,4.09
250,Benghazi,LY,2021-03-14 21:42:22,32.1167,20.0667,58.77,73,0,6.6
251,Mar Del Plata,AR,2021-03-14 21:37:39,-38.0023,-57.5575,73.4,73,20,11.5
252,Berlevag,NO,2021-03-14 21:42:23,70.8578,29.0864,26.6,86,75,2.3
253,Chas,IN,2021-03-14 21:42:23,23.6333,86.1667,74.23,31,0,3.4
254,Constitucion,CL,2021-03-14 21:42:23,-35.3333,-72.4167,60.78,79,58,4.59
255,Reconquista,AR,2021-03-14 21:42:24,-29.15,-59.65,87.15,37,13,6.58
256,Butaritari,KI,2021-03-14 21:42:24,3.0707,172.7902,81.48,80,19,14.88
257,Acari,PE,2021-03-14 21:42:25,-15.4311,-74.6158,78.53,67,63,7.61
258,Adrar,MR,2021-03-14 21:39:52,20.5022,-10.0711,74.23,24,91,8.1
259,Segou,ML,2021-03-14 21:42:25,13.4317,-6.2157,79.65,13,12,7.23
260,Ambon,ID,2021-03-14 21:42:26,-3.6954,128.1814,75.2,94,40,4.61
261,Poddorye,RU,2021-03-14 21:42:26,57.4695,31.1156,36.73,93,99,10.07
262,Batagay,RU,2021-03-14 21:42:27,67.6333,134.6333,-6.23,90,100,4.99
263,Conakry,GN,2021-03-14 21:42:18,9.538,-13.6773,82.4,65,40,6.91
264,Carutapera,BR,2021-03-14 21:42:27,-1.195,-46.02,77.02,88,81,4.83
265,Umm Kaddadah,SD,2021-03-14 21:42:28,13.6017,26.6876,79.09,8,40,13.33
266,Praia Da Vitoria,PT,2021-03-14 21:42:28,38.7333,-27.0667,62.6,88,40,8.99
267,Nemuro,JP,2021-03-14 21:42:29,43.3236,145.575,33.42,89,100,26.17
268,Valparaiso,CL,2021-03-14 21:42:29,-33.0393,-71.6273,64.4,72,40,6.91
269,Cockburn Town,TC,2021-03-14 21:42:29,21.4612,-71.1419,74.7,65,1,13.33
270,Barstow,US,2021-03-14 21:42:30,34.8986,-117.0228,69.8,18,1,16.11
271,Moranbah,AU,2021-03-14 21:42:30,-22.0016,148.0466,76.28,70,2,8.55
272,Leningradskiy,RU,2021-03-14 21:42:30,69.3833,178.4167,2.64,94,100,14.99
273,Bilibino,RU,2021-03-14 21:42:31,68.0546,166.4372,-13.95,97,99,5.06
274,Faanui,PF,2021-03-14 21:42:31,-16.4833,-151.75,82.9,74,99,14.09
275,Huarmey,PE,2021-03-14 21:42:32,-10.0681,-78.1522,76.48,71,14,9.01
276,Lyuban,BY,2021-03-14 21:42:32,52.7985,28.0048,34.23,95,92,8.41
277,Havoysund,NO,2021-03-14 21:42:32,70.9963,24.6622,28.4,93,75,8.05
278,Ormara,PK,2021-03-14 21:42:33,25.2088,64.6357,74.26,70,0,7.36
279,Isangel,VU,2021-03-14 21:42:33,-19.55,169.2667,78.8,94,75,7.18
280,Kazerun,IR,2021-03-14 21:39:18,29.6195,51.6541,54.57,58,0,0.54
281,Pangoa,PE,2021-03-14 21:42:34,-12.1167,-73.0,79.74,69,95,2.39
282,Shimoda,JP,2021-03-14 21:42:34,34.6667,138.95,52.36,60,25,4.9
283,Andenes,NO,2021-03-14 21:42:35,69.3143,16.1194,35.6,75,75,9.22
284,Springfield,US,2021-03-14 21:41:01,37.2153,-93.2982,59.0,94,90,13.8
285,Saint-Pierre,RE,2021-03-14 21:42:35,-21.3393,55.4781,78.8,83,75,12.66
286,State College,US,2021-03-14 21:42:36,40.7934,-77.86,48.2,25,40,25.32
287,Fort Nelson,CA,2021-03-14 21:41:16,58.8053,-122.7002,-0.4,65,90,5.75
